Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1549-7801,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE),7.7,Q1,14/177
Frontiers of Engineering Management,2095-7513,2096-0255,"ENGINEERING, INDUSTRIAL(ESCI)",7.7,Q1,8/69
ACS Environmental Au,N/A,2694-2518,"ENGINEERING, ENVIRONMENTAL(ESCI);ENVIRONMENTAL SCIENCES(ESCI)",7.7,Q1,41/374
Progress in Biomedical Engineering,N/A,2516-1091,"ENGINEERING, BIOMEDICAL(ESCI)",7.7,Q1,16/124
Lancet Regional Health-Americas,2667-193X,2667-193X,"HEALTH CARE SCIENCES & SERVICES(ESCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",7.6,Q1,8/185
China Finance Review International,2044-1398,2044-1401,"BUSINESS, FINANCE(ESCI)",7.6,Q1,8/241
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1619-7070,1619-7089,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",7.6,Q1,10/212
Alzheimers Research & Therapy,N/A,1758-9193,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),7.6,Q1,17/285
ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)",7.6,Q1,6/115
BRITISH JOURNAL OF PSYCHIATRY,0007-1250,1472-1465,"PSYCHIATRY(SCIE, SSCI)",7.6,Q1,11/288
BRAIN BEHAVIOR AND IMMUNITY,0889-1591,1090-2139,IMMUNOLOGY(SCIE);NEUROSCIENCES(SCIE);PSYCHIATRY(SCIE),7.6,Q1,11/288
BIOSCIENCE,0006-3568,1525-3244,BIOLOGY(SCIE),7.6,Q1,4/107
MOVEMENT DISORDERS,0885-3185,1531-8257,CLINICAL NEUROLOGY(SCIE),7.6,Q1,17/285
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,1572-0241,GASTROENTEROLOGY & HEPATOLOGY(SCIE),7.6,Q1,14/147
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,ECOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE),7.6,Q1,9/200
PHYTOCHEMISTRY REVIEWS,1568-7767,1572-980X,PLANT SCIENCES(SCIE),7.6,Q1,15/273
PATTERN RECOGNITION,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",7.6,Q1,33/366
BMJ Evidence-Based Medicine,2515-446X,2515-4478,"MEDICINE, GENERAL & INTERNAL(SCIE)",7.6,Q1,20/332
npj Breast Cancer,N/A,2374-4677,ONCOLOGY(SCIE),7.6,Q1,42/326
Food Engineering Reviews,1866-7910,1866-7929,FOOD SCIENCE & TECHNOLOGY(SCIE),7.6,Q1,15/181
Science China-Information Sciences,1674-733X,1869-1919,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",7.6,Q1,16/258
Internet of Things,2543-1536,2542-6605,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",7.6,Q1,16/258
International Journal of Consumer Studies,1470-6423,1470-6431,BUSINESS(SSCI),7.6,Q1,28/316
Energy Conversion and Management-X,2590-1745,2590-1745,ENERGY & FUELS(ESCI);MECHANICS(ESCI);THERMODYNAMICS(ESCI),7.6,Q1,6/171
KNOWLEDGE-BASED SYSTEMS,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",7.6,Q1,26/204
Mucosal Immunology,1933-0219,1935-3456,IMMUNOLOGY(SCIE),7.6,Q1,20/183
Sensors and Actuators Reports,2666-0539,2666-0539,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);CHEMISTRY, ANALYTICAL(ESCI);ELECTROCHEMISTRY(ESCI);INSTRUMENTS & INSTRUMENTATION(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",7.6,Q1,3/79
Bio-Design and Manufacturing,2096-5524,2522-8552,"ENGINEERING, BIOMEDICAL(SCIE)",7.6,Q1,18/124
PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.6,Q1,22/230
PROGRESS IN PHOTOVOLTAICS,1062-7995,1099-159X,"ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)",7.6,Q1,30/187
BUILDING AND ENVIRONMENT,0360-1323,1873-684X,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)",7.6,Q1,9/183
Green Chemical Engineering,2096-9147,2666-9528,"ENGINEERING, CHEMICAL(ESCI)",7.6,Q1,21/175
npj Materials Degradation,N/A,2397-2106,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.6,Q1,93/460
Animal Nutrition,2405-6383,2405-6545,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE);VETERINARY SCIENCES(SCIE)",7.5,Q1,2/170
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,1468-330X,CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE);SURGERY(SCIE),7.5,Q1,8/312
Neurology-Neuroimmunology & Neuroinflammation,2332-7812,2332-7812,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),7.5,Q1,19/285
IEEE Transactions on Dependable and Secure Computing,1545-5971,1941-0018,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",7.5,Q1,7/128
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1365-1609,1873-4545,"ENGINEERING, GEOLOGICAL(SCIE);MINING & MINERAL PROCESSING(SCIE)",7.5,Q1,3/65
Emerging Microbes & Infections,N/A,2222-1751,IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE),7.5,Q1,7/137
European Journal of Preventive Cardiology,2047-4873,2047-4881,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.5,Q1,23/230
ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,ECOLOGY(SCIE),7.5,Q1,10/200
JHEP Reports,N/A,2589-5559,GASTROENTEROLOGY & HEPATOLOGY(SCIE),7.5,Q1,15/147
Science China-Physics Mechanics & Astronomy,1674-7348,1869-1927,"PHYSICS, MULTIDISCIPLINARY(SCIE)",7.5,Q1,12/114
Annual Review of Analytical Chemistry,1936-1327,1936-1335,"CHEMISTRY, ANALYTICAL(SCIE);SPECTROSCOPY(SCIE)",7.5,Q1,2/44
Digital Communications and Networks,2468-5925,2352-8648,TELECOMMUNICATIONS(SCIE),7.5,Q1,14/120
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,0263-7863,1873-4634,MANAGEMENT(SSCI),7.5,Q1,34/420
INDUSTRIAL MARKETING MANAGEMENT,0019-8501,1873-2062,BUSINESS(SSCI);MANAGEMENT(SSCI),7.5,Q1,34/420
Journal of Translational Medicine,N/A,1479-5876,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",7.5,Q1,24/195
BIOMEDICINE & PHARMACOTHERAPY,0753-3322,1950-6007,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)",7.5,Q1,19/352
GASTROINTESTINAL ENDOSCOPY,0016-5107,1097-6779,GASTROENTEROLOGY & HEPATOLOGY(SCIE),7.5,Q1,15/147
CURRENT BIOLOGY,0960-9822,1879-0445,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE);CELL BIOLOGY(SCIE),7.5,Q1,5/107
DIABETES,0012-1797,1939-327X,ENDOCRINOLOGY & METABOLISM(SCIE),7.5,Q1,17/191
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",7.5,Q1,7/106
ARCHIVES OF PHARMACAL RESEARCH,0253-6269,1976-3786,"CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)",7.5,Q1,19/352
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,0167-8116,1873-8001,BUSINESS(SSCI),7.5,Q1,29/316
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,0924-0136,1873-4774,"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.5,Q1,9/71
Water Resources and Industry,N/A,2212-3717,WATER RESOURCES(SCIE),7.5,Q1,7/131
Fuel,0016-2361,1873-7153,"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)",7.5,Q1,22/175
DRUG DISCOVERY TODAY,1359-6446,1878-5832,PHARMACOLOGY & PHARMACY(SCIE),7.5,Q1,19/352
Carbon Resources Conversion,2588-9133,2588-9133,"ENERGY & FUELS(ESCI);ENGINEERING, CHEMICAL(ESCI)",7.5,Q1,22/175
CURRENT OPINION IN PLANT BIOLOGY,1369-5266,1879-0356,PLANT SCIENCES(SCIE),7.5,Q1,16/273
CURRENT OPINION IN MICROBIOLOGY,1369-5274,1879-0364,MICROBIOLOGY(SCIE),7.5,Q1,16/163
CHEMICAL RECORD,1527-8999,1528-0691,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",7.5,Q1,42/239
REVIEW OF EDUCATIONAL RESEARCH,0034-6543,1935-1046,EDUCATION & EDUCATIONAL RESEARCH(SSCI),7.4,Q1,9/756
International Journal of Management Education,1472-8117,2352-3565,BUSINESS(SSCI);EDUCATION & EDUCATIONAL RESEARCH(SSCI);MANAGEMENT(SSCI),7.4,Q1,9/756
Journal of Destination Marketing & Management,2212-571X,2212-5752,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);MANAGEMENT(SSCI)",7.4,Q1,11/139
Information Processing in Agriculture,2214-3173,2214-3173,"AGRICULTURE, MULTIDISCIPLINARY(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE)",7.4,Q1,4/94
Journal of Business Logistics,0735-3766,2158-1592,MANAGEMENT(SSCI),7.4,Q1,36/420
EUROPACE,1099-5129,1532-2092,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.4,Q1,24/230
Food Science and Human Wellness,N/A,2213-4530,FOOD SCIENCE & TECHNOLOGY(SCIE);NUTRITION & DIETETICS(SCIE),7.4,Q1,8/112
SERVICE INDUSTRIES JOURNAL,0264-2069,1743-9507,MANAGEMENT(SSCI),7.4,Q1,36/420
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642,1524-4636,HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE),7.4,Q1,8/98
Cellular and Molecular Gastroenterology and Hepatology,2352-345X,2352-345X,GASTROENTEROLOGY & HEPATOLOGY(SCIE),7.4,Q1,17/147
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,0144-3577,1758-6593,MANAGEMENT(SSCI),7.4,Q1,36/420
Ecological Indicators,1470-160X,1872-7034,ENVIRONMENTAL SCIENCES(SCIE),7.4,Q1,45/374
Circulation-Cardiovascular Interventions,1941-7640,1941-7632,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.4,Q1,24/230
CNS DRUGS,1172-7047,1179-1934,CLINICAL NEUROLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE),7.4,Q1,14/288
CLINICAL NUTRITION,0261-5614,1532-1983,NUTRITION & DIETETICS(SCIE),7.4,Q1,8/112
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,0886-7798,1878-4364,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE)",7.4,Q1,10/183
DIABETES RESEARCH AND CLINICAL PRACTICE,0168-8227,1872-8227,ENDOCRINOLOGY & METABOLISM(SCIE),7.4,Q1,18/191
Journal of Building Engineering,N/A,2352-7102,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE)",7.4,Q1,10/183
POLYMER DEGRADATION AND STABILITY,0141-3910,1873-2321,POLYMER SCIENCE(SCIE),7.4,Q1,7/94
Energy Research & Social Science,2214-6296,2214-6326,ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI),7.4,Q1,19/191
Patterns,2666-3899,2666-3899,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",7.4,Q1,19/258
Obesity Reviews,1467-7881,1467-789X,ENDOCRINOLOGY & METABOLISM(SCIE),7.4,Q1,18/191
Chemical Science,2041-6520,2041-6539,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",7.4,Q1,43/239
Journal of Translational Internal Medicine,2450-131X,2224-4018,"MEDICINE, GENERAL & INTERNAL(SCIE)",7.4,Q1,21/332
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,1350-6129,1744-2818,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",7.4,Q1,21/332
REDOX REPORT,1351-0002,1743-2928,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),7.4,Q1,37/319
Science China-Materials,2095-8226,2199-4501,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.4,Q1,96/460
SPACE SCIENCE REVIEWS,0038-6308,1572-9672,ASTRONOMY & ASTROPHYSICS(SCIE),7.4,Q1,11/84
JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, MANUFACTURING(SCIE)",7.4,Q1,10/71
Fuzzy Optimization and Decision Making,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",7.4,Q1,8/106
Materials Today Electronics,N/A,2772-9494,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI);PHYSICS, APPLIED(ESCI)",7.4,Q1,31/187
RIVISTA DEL NUOVO CIMENTO,0393-697X,1826-9850,"PHYSICS, MULTIDISCIPLINARY(SCIE)",7.4,Q1,13/114
PERSOONIA,0031-5850,N/A,MYCOLOGY(SCIE),7.3,Q1,4/32
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0045-7825,1879-2138,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);MECHANICS(SCIE)",7.3,Q1,4/136
Bottom Line,0888-045X,2054-1724,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),7.3,Q1,8/166
CLINICAL INFECTIOUS DISEASES,1058-4838,1537-6591,IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE),7.3,Q1,8/137
Ecological Informatics,1574-9541,1878-0512,ECOLOGY(SCIE),7.3,Q1,11/200
European Management Journal,0263-2373,1873-5681,BUSINESS(SSCI);MANAGEMENT(SSCI),7.3,Q1,41/420
mAbs,1942-0862,1942-0870,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",7.3,Q1,27/195
International Soil and Water Conservation Research,2095-6339,2589-059X,ENVIRONMENTAL SCIENCES(SCIE);SOIL SCIENCE(SCIE);WATER RESOURCES(SCIE),7.3,Q1,3/48
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,0960-0035,1758-664X,MANAGEMENT(SSCI),7.3,Q1,41/420
ONCOGENE,0950-9232,1476-5594,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);ONCOLOGY(SCIE),7.3,Q1,16/191
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1083-4435,1941-014X,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MECHANICAL(SCIE)",7.3,Q1,8/182
NEW TECHNOLOGY WORK AND EMPLOYMENT,0268-1072,1468-005X,ERGONOMICS(SSCI);MANAGEMENT(SSCI),7.3,Q1,45681
ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,ENVIRONMENTAL SCIENCES(SCIE),7.3,Q1,46/374
CALIFORNIA MANAGEMENT REVIEW,0008-1256,2162-8564,BUSINESS(SSCI);MANAGEMENT(SSCI),7.3,Q1,41/420
PEDOSPHERE,1002-0160,2210-5107,SOIL SCIENCE(SCIE),7.3,Q1,3/48
Stem Cell Research & Therapy,N/A,1757-6512,"CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",7.3,Q1,3/32
CHINESE MEDICAL JOURNAL,0366-6999,2542-5641,"MEDICINE, GENERAL & INTERNAL(SCIE)",7.3,Q1,23/332
Cell Reports Physical Science,N/A,2666-3864,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, MULTIDISCIPLINARY(SCIE)",7.3,Q1,14/114
ACS Sustainable Chemistry & Engineering,2168-0485,2168-0485,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENGINEERING, CHEMICAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)",7.3,Q1,24/175
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,0020-7543,1366-588X,"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",7.3,Q1,9/106
PROGRESS IN ORGANIC COATINGS,0300-9440,1873-331X,"CHEMISTRY, APPLIED(SCIE);MATERIALS SCIENCE, COATINGS & FILMS(SCIE)",7.3,Q1,45711
CAAI Transactions on Intelligence Technology,2468-6557,2468-2322,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",7.3,Q1,32/204
ORGANIZATION & ENVIRONMENT,1086-0266,1552-7417,ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI),7.3,Q1,41/420
Pulse,2235-8676,2235-8668,PERIPHERAL VASCULAR DISEASE(ESCI),7.3,Q1,9/98
AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",7.2,Q1,10/221
Current Forestry Reports,2198-6436,2198-6436,FORESTRY(SCIE),7.2,Q1,1/92
Financial Innovation,N/A,2199-4730,"BUSINESS, FINANCE(SSCI);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)",7.2,Q1,1/68
Photonics Research,2327-9125,2327-9125,OPTICS(SCIE),7.2,Q1,15/125
JACC-Basic to Translational Science,2452-302X,2452-302X,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),7.2,Q1,26/230
JNCI-Journal of the National Cancer Institute,0027-8874,1460-2105,ONCOLOGY(SCIE),7.2,Q1,44/326
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1557-9948,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",7.2,Q1,4/79
Earth System Dynamics,2190-4979,2190-4987,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",7.2,Q1,14/258
PLOS BIOLOGY,1544-9173,1545-7885,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE),7.2,Q1,6/107
IEEE TRANSACTIONS ON POWER SYSTEMS,0885-8950,1558-0679,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",7.2,Q1,38/366
Advanced Optical Materials,2195-1071,2195-1071,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);OPTICS(SCIE)",7.2,Q1,15/125
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,MANAGEMENT(SSCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE),7.2,Q1,10/106
International Journal of Minerals Metallurgy and Materials,1674-4799,1869-103X,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE);MINING & MINERAL PROCESSING(SCIE)",7.2,Q1,8/96
Cell Chemical Biology,2451-9456,2451-9448,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),7.2,Q1,40/319
STRATEGIC MANAGEMENT JOURNAL,0143-2095,1097-0266,BUSINESS(SSCI);MANAGEMENT(SSCI),7.2,Q1,34/316
IEEE Vehicular Technology Magazine,1556-6072,1556-6080,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",7.2,Q1,38/366
Sustainability Accounting Management and Policy Journal,2040-8021,2040-803X,"BUSINESS, FINANCE(SSCI);ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI)",7.2,Q1,9/241
Journal of Future Foods,N/A,2772-5669,FOOD SCIENCE & TECHNOLOGY(ESCI),7.2,Q1,17/181
Digital Business,N/A,2666-9544,BUSINESS(ESCI);MANAGEMENT(ESCI),7.2,Q1,34/316
JOURNAL OF RARE EARTHS,1002-0721,1002-0721,"CHEMISTRY, APPLIED(SCIE)",7.2,Q1,12/75
Journal of Environmental Chemical Engineering,2213-2929,2213-3437,"ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)",7.2,Q1,25/175
PROGRESS IN SURFACE SCIENCE,0079-6816,1878-4240,"CHEMISTRY, PHYSICAL(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",7.2,Q1,15/79
Journal of Consumer Sciences,N/A,0378-5254,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",7.2,Q1,5/271
INTERNATIONAL JOURNAL OF NURSING STUDIES,0020-7489,1873-491X,"NURSING(SCIE, SSCI)",7.1,Q1,1/192
ECONOMETRICA,0012-9682,1468-0262,"ECONOMICS(SSCI);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI);STATISTICS & PROBABILITY(SCIE)",7.1,Q1,4/167
Clinical Journal of the American Society of Nephrology,1555-9041,1555-905X,UROLOGY & NEPHROLOGY(SCIE),7.1,Q1,9/133
INTERNATIONAL JOURNAL OF FORECASTING,0169-2070,1872-8200,ECONOMICS(SSCI);MANAGEMENT(SSCI),7.1,Q1,17/617
Borsa Istanbul Review,2214-8450,2214-8469,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",7.1,Q1,17/617
INTERNATIONAL ENDODONTIC JOURNAL,0143-2885,1365-2591,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",7.1,Q1,3/162
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,1758-1095,"MEDICINE, GENERAL & INTERNAL(SCIE)",7.1,Q1,24/332
Campbell Systematic Reviews,N/A,1891-1803,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",7.1,Q1,6/271
Blood Advances,2473-9529,2473-9537,HEMATOLOGY(SCIE),7.1,Q1,13/98
NEUROPSYCHOPHARMACOLOGY,0893-133X,1740-634X,NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE),7.1,Q1,15/288
Deutsches Arzteblatt International,1866-0452,1866-0452,"MEDICINE, GENERAL & INTERNAL(SCIE)",7.1,Q1,24/332
EUROPEAN JOURNAL OF CANCER,0959-8049,1879-0852,ONCOLOGY(SCIE),7.1,Q1,45/326
AGING CELL,1474-9718,1474-9726,CELL BIOLOGY(SCIE);GERIATRICS & GERONTOLOGY(SCIE),7.1,Q1,5/73
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,1939-9359,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",7.1,Q1,41/366
Organizational Psychology Review,2041-3866,2041-3874,"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)",7.1,Q1,7/115
AGE AND AGEING,0002-0729,1468-2834,GERIATRICS & GERONTOLOGY(SCIE),7.1,Q1,5/73
COMPOSITE STRUCTURES,0263-8223,1879-1085,"MATERIALS SCIENCE, COMPOSITES(SCIE);MECHANICS(SCIE)",7.1,Q1,8/171
SURVEYS IN GEOPHYSICS,0169-3298,1573-0956,GEOCHEMISTRY & GEOPHYSICS(SCIE),7.1,Q1,5/100
Environmental Technology & Innovation,2352-1864,2352-1864,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)",7.1,Q1,16/177
ENERGY AND BUILDINGS,0378-7788,1872-6178,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CIVIL(SCIE)",7.1,Q1,12/183
Journal of Genetics and Genomics,1673-8527,1873-5533,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE),7.1,Q1,17/191
Waste Management,0956-053X,1879-2456,"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)",7.1,Q1,48/374
International Journal of Geo-Engineering,2092-9196,2198-2783,"ENGINEERING, GEOLOGICAL(ESCI)",7.1,Q1,4/65
Chip,2709-4723,2772-2724,"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);OPTICS(ESCI);PHYSICS, APPLIED(ESCI)",7.1,Q1,41/366
IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,1558-223X,AUTOMATION & CONTROL SYSTEMS(SCIE);ROBOTICS(SCIE),7.1,Q1,6/48
Progress in Natural Science-Materials International,1002-0071,1745-5391,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",7.1,Q1,101/460
Acta Ecologica Sinica,1872-2032,1872-2032,ECOLOGY(ESCI),7.1,Q1,12/200
Chemical Engineering Journal Advances,2666-8211,2666-8211,"ENGINEERING, CHEMICAL(ESCI);ENGINEERING, ENVIRONMENTAL(ESCI)",7.1,Q1,26/175
